"","State","Region","Race","Population","Group"
"352","Idaho","All Regions","NHA",1.2,"Population"
"353","Illinois","All Regions","NHA",5.6,"Population"
"354","Indiana","All Regions","NHA",2.4,"Population"
"355","Iowa","All Regions","NHA",2.3,"Population"
"356","Kansas","All Regions","NHA",2.8,"Population"
"357","Kentucky","All Regions","NHA",1.6,"Population"
"358","Louisiana","All Regions","NHA",1.7,"Population"
"359","Maine","All Regions","NHA",1.1,"Population"
"360","Maryland","All Regions","NHA",6.4,"Population"
"361","Massachusetts","All Regions","NHA",6.7,"Population"
"362","Michigan","All Regions","NHA",3.2,"Population"
"363","Minnesota","All Regions","NHA",4.9,"Population"
"364","Mississippi","All Regions","NHA",1,"Population"
"365","Missouri","All Regions","NHA",2.1,"Population"
"366","Nebraska","All Regions","NHA",2.4,"Population"
"367","Nevada","All Regions","NHA",8.5,"Population"
"368","New Hampshire","All Regions","NHA",2.6,"Population"
"369","New Jersey","All Regions","NHA",9.6,"Population"
"370","New Mexico","All Regions","NHA",1.6,"Population"
"371","North Carolina","All Regions","NHA",2.9,"Population"
"372","Ohio","All Regions","NHA",2.3,"Population"
"373","Oklahoma","All Regions","NHA",2.1,"Population"
"374","Oregon","All Regions","NHA",4.7,"Population"
"375","Pennsylvania","All Regions","NHA",3.5,"Population"
"376","Rhode Island","All Regions","NHA",3.3,"Population"
"377","South Carolina","All Regions","NHA",1.7,"Population"
"378","South Dakota","All Regions","NHA",1.3,"Population"
"379","Tennessee","All Regions","NHA",1.8,"Population"
"380","Texas","All Regions","NHA",5,"Population"
"381","Utah","All Regions","NHA",2.3,"Population"
"382","Vermont","All Regions","NHA",1.6,"Population"
"383","Virginia","All Regions","NHA",6.7,"Population"
"384","Washington","All Regions","NHA",8.9,"Population"
"385","Wisconsin","All Regions","NHA",3,"Population"
"386","Wyoming","All Regions","NHA",0.6,"Population"
"387","Alabama","South","NHW",50.9186323423239,"Infection"
"388","Alaska","West","NHW",45.0039714058777,"Infection"
"389","Arizona","West","NHW",36.2005231270184,"Infection"
"390","Arkansas","South","NHW",63.7335724418511,"Infection"
"391","California","West","NHW",17.1447694358913,"Infection"
"392","Colorado","West","NHW",44.7824300729227,"Infection"
"393","Connecticut","Northeast","NHW",49.2957746478873,"Infection"
"394","Delaware","South","NHW",39.9578725645076,"Infection"
"395","District of Columbia","South","NHW",21.8864708966964,"Infection"
"396","Florida","South","NHW",33.9968343536244,"Infection"
"397","Georgia","South","NHW",41.7794612794613,"Infection"
"398","Hawaii","West","NHW",15.9440133881028,"Infection"
"399","Idaho","West","NHW",74.7122716155949,"Infection"
"400","Illinois","Midwest","NHW",39.4757472720809,"Infection"
"401","Indiana","Midwest","NHW",68.3993158399733,"Infection"
"402","Iowa","Midwest","NHW",84.5991900662429,"Infection"
"403","Kansas","Midwest","NHW",80.6397645730872,"Infection"
"404","Kentucky","South","NHW",80.4603877401883,"Infection"
"405","Louisiana","South","NHW",43.5338692540545,"Infection"
"406","Maine","Northeast","NHW",73.9068537726256,"Infection"
"407","Maryland","South","NHW",29.5883191824939,"Infection"
"408","Massachusetts","Northeast","NHW",43.3546870775182,"Infection"
"409","Michigan","Midwest","NHW",58.5615793885686,"Infection"
"410","Minnesota","Midwest","NHW",54.1485442925617,"Infection"
"411","Mississippi","South","NHW",42.0650686968417,"Infection"
"412","Missouri","Midwest","NHW",71.180992971261,"Infection"
"413","Montana","West","NHW",71.9279784870806,"Infection"
"414","Nebraska","Midwest","NHW",81.1645346272607,"Infection"
"415","Nevada","West","NHW",28.2705785925765,"Infection"
"416","New Hampshire","Northeast","NHW",74.1273100616016,"Infection"
"417","New Jersey","Northeast","NHW",37.9080712623553,"Infection"
